#SET|Q|ID|DIFF|KEY|FMT|FIG|STEM|CHOICES|DISTRACTOR_LOGIC
Area and Volume 2|2.14|e336a1d2|372|D|mcq|-|A cube has an edge length of 41 inches. What is the volume, in cubic inches?|164;1681;10086;68921|A=4s (perimeter-ish); B=s^2 (area of one face); C=6s^2 (surface area); D=s^3 CORRECT
Area and Volume 2|2.15|468613c0|411|C|mcq|-|A triangle has a base length of 56 cm and a height of 112 cm. What is the area, in square cm?|168;1568;3136;6272|A=b+h (added); B=bh/4 (halved twice); C=(1/2)bh CORRECT; D=bh (forgot the 1/2)
Area and Volume 2|2.16|aef4fd8a|382|D|mcq|-|The length of each side of a square is 94 cm. Which expression gives the area, in cm^2?|2*94;2*94*94;4*94;94*94|A=half the perimeter; B=twice the area; C=perimeter; D=s*s CORRECT
Area and Volume 2|2.17|9c0a0eca|407|B|mcq|-|A triangle has a base length of 10 cm and corresponding height 70 cm. What is the area, in square cm?|700;350;175;80|A=bh (forgot 1/2); B=(1/2)bh CORRECT; C=bh/4 (halved twice); D=b+h (added)
Area and Volume 2|2.18|e9c5bfb2|644|B|mcq|two-similar-rectangles|Rectangles ABCD and QRST are similar, A,B,C,D correspond to Q,R,S,T. AB=12 in, QR=5 in, QT=10 in. What is the length of AD, in inches?|60;24;17;10|A=12*5 (multiplied givens); B=10*(12/5) CORRECT; C=12+5 (added); D=10 (copied corresponding side, ratio ignored)
Area and Volume 2|2.19|a2659088|411|D|mcq|-|A right circular cylinder has height 8 m and base radius 12 m. What is the volume, in m^3?|8pi;20pi;768pi;1152pi|A=h*pi only; B=pi(r+h) (added); C=pi(r/2)^2 h? (halved radius); D=pi(12)^2(8) CORRECT
Area and Volume 2|2.20|03c6994f|407|A|mcq|-|Square A has side lengths 246 times those of square B. Area of A is k times area of B. What is k?|60516;492;246;123|A=246^2 CORRECT; B=2*246 (doubled instead of squared); C=246 (linear ratio, forgot squaring); D=246/2
Area and Volume 2|2.21|096c7ef5|872|B|mcq|grid-3-points-circle|Three points shown on a grid at (4,8),(7,11),(7,5) define a circle. Circumference is k*pi. What is k?|3;6;7;9|A=r (gave radius not k=2r); B=2r=6 CORRECT; C=center x-coord; D=diameter+3 / misread span
Area and Volume 3|3.1|a07ed090|564|C|mcq|cylinder-r-h|Right circular cylinder radius r height h. A second cylinder has volume 392 times as large. Which could represent R in terms of r and H in terms of h?|R=8r,H=7h;R=8r,H=49h;R=7r,H=8h;R=49r,H=8h|A=8^2*7=448 wrong; B=8^2*49 too big; C=7^2*8=392 CORRECT; D=49^2*8 (squared the wrong factor)
Area and Volume 3|3.2|899c6042|239|66|spr|-|A right circular cone has height 22 cm and base diameter 6 cm. Volume is n*pi cm^3. What is n?|-|SPR: (1/3)(3^2)(22)=66; error 264 uses diameter as radius; error 198 forgets 1/3
Area and Volume 3|3.3|b0dc920d|495|D|mcq|-|Right cylindrical containers have height 4 inches longer than the radius. Which expresses the volume V in terms of r?|V=4pi r^3;V=pi(2r)^3;V=pi r^2+4pi r;V=pi r^3+4pi r^2|A=wrong form; B=used 2r as height; C=forgot to distribute r^2 (dropped a power); D=pi r^2(r+4) expanded CORRECT
Area and Volume 3|3.4|5b2b8866|242|518.4|spr|-|A rectangular poster has area 360 sq in. A copy has length and width each increased by 20%. What is the area of the copy?|-|SPR: 360*1.2^2=518.4; common error 432 (scaled area by 1.2 only)
Area and Volume 3|3.5|9f934297|242|2216|spr|-|Right rectangular prism length 28 cm, width 15 cm, height 16 cm. What is the surface area, in cm^2?|-|SPR: 2(28*15+28*16+15*16)=2216; error 6720 (computed volume)
Area and Volume 3|3.6|dc71597b|530|A|mcq|-|A right circular cone has volume (1/3)pi cubic feet and height 9 feet. What is the radius, in feet, of the base?|1/3;1/sqrt(3);sqrt(3);3|A=sqrt(1/9)=1/3 CORRECT; B=forgot to divide by 9 properly; C=inverted; D=reciprocal of correct
Area and Volume 3|3.7|93de3f84|417|C|mcq|-|Volume of right circular cylinder A is 22 cm^3. What is the volume of a cylinder with twice the radius and half the height of A?|11;22;44;66|A=halved only (ignored radius squaring); B=unchanged (thought effects cancel); C=22*(2^2)/2=44 CORRECT; D=22*3
Area and Volume 3|3.8|eb70d2d0|639|24.5|spr|grid-3-points-triangle|Three points on the xy-plane at (-3,4),(5,3),(4,-3). What is the area, in square units, of the triangle formed by connecting them?|-|SPR: shoelace = 24.5
Area and Volume 3|3.9|f7e626b2|393|D|mcq|-|Right rectangular prism dimensions 4 by 5 by 6 inches. What is the surface area, in square inches?|30;74;120;148|A=sum of face areas without doubling and incomplete; B=half of SA; C=volume (4*5*6); D=2(lw+lh+wh) CORRECT
Area and Volume 3|3.10|459dd6c5|263|135/8|spr|-|Triangles ABC and DEF similar. Each side of ABC is 4 times DEF. Area of ABC is 270 sq in. What is the area of DEF?|-|SPR: 270/4^2=135/8; common error 67.5 (divided by 4 not 16)
Area and Volume 3|3.11|310c87fe|393|B|mcq|-|A cube has a surface area of 54 square meters. What is the volume, in cubic meters?|18;27;36;81|A=54/3; B=s=3 so V=27 CORRECT; C=6s (perimeter-ish); D=misc
Area and Volume 3|3.12|983412ea|246|12|spr|-|A right square prism has height 14 units and volume 2016 cubic units. What is the length of an edge of the base?|-|SPR: sqrt(2016/14)=sqrt(144)=12; error 144 (forgot sqrt)
Area and Volume 3|3.13|099526fc|926|B|mcq|grid-segment-leg|A line segment from (-6,4) to (3,10) is one leg of a right triangle. Area is 36sqrt(13) square units. What is the length of the other leg?|12;24;3sqrt(13);18sqrt(13)|A=half of correct; B=2*36sqrt13/(3sqrt13)=24 CORRECT; C=length of the shown leg itself; D=forgot the factor of 2 in area formula
Area and Volume 3|3.14|c984f1a5|411|D|mcq|-|A hemisphere has radius 27 inches. Which is closest to the volume, in cubic inches?|1500;6100;30900;41200|A=far too small; B=used r^2; C=(1/3)pi r^3 (wrong fraction); D=(2/3)pi(27)^3~41200 CORRECT
Area and Volume 3|3.15|6708546e|433|C|mcq|-|Parallelogram ABCD ~ PQRS. Each side of PQRS is 2 times ABCD. Area of ABCD is 5 cm^2. What is the area of PQRS?|7;10;20;25|A=5+2; B=5*2 (linear ratio, forgot squaring); C=5*2^2 CORRECT; D=5^2
Area and Volume 3|3.16|b2528e6b|700|8|spr|grid-3-points-circle|Three points at (2,6),(6,10),(6,2) define a circle. Circumference is k*pi. What is k?|-|SPR: center (6,6), r=4, k=2r=8; error 4 (gave radius)
Area and Volume 3|3.17|502d9690|433|C|mcq|-|Rectangle ABCD ~ EFGH. Area ABCD 648 sq in, area EFGH 72 sq in. Longest side of ABCD is 36 in. What is the longest side of EFGH?|4;9;12;36|A=36/9 (used area ratio as linear); B=misc; C=36/3 CORRECT (linear ratio sqrt(9)=3); D=36 (copied)
Area and Volume 3|3.18|deff8a2f|411|C|mcq|-|Circumference of the base of a right circular cylinder is 20pi m, height 6 m. What is the volume, in m^3?|60pi;120pi;600pi;2400pi|A=C*h/2; B=C*h (used circumference as area); C=pi(10)^2(6) CORRECT; D=used 20 as radius
Circles 1|1.1|23c5fcce|499|A|mcq|circle-two-perp-diameters|Circle with center O has circumference 36. Two perpendicular diameters drawn. What is the length of minor arc AC?|9;12;18;36|A=36/4 CORRECT (90 deg = quarter); B=36/3 (thought 120 deg); C=36/2 (thought semicircle); D=36 (whole circumference)
Circles 1|1.2|d03e29f1|408|C|mcq|-|(x-6)^2+(y-3)^2=81. The graph is a circle. What is the length of the radius?|3;6;9;81|A=used the 3 from the equation; B=used the 6; C=sqrt(81) CORRECT; D=81 (forgot sqrt, gave r^2)
Circles 1|1.3|f2495de4|384|C|mcq|-|What is the value of cos(565pi/6)?|1/2;1;sqrt(3)/2;sqrt(3)|A=cos(pi/3) (wrong reference angle); B=cos(0); C=cos(pi/6)=sqrt(3)/2 CORRECT; D=tan(pi/3) (wrong function)
Circles 2|2.1|8e7689e0|247|4|spr|-|The number of radians in a 720-degree angle can be written as a*pi. What is a?|-|SPR: 720*pi/180=4pi so a=4; error 2 (used 360)
Circles 2|2.2|74d8b897|220|81|spr|-|An angle has a measure of 9pi/20 radians. What is the measure in degrees?|-|SPR: (9/20)*180=81; error 20/9*180 (inverted)
Circles 2|2.3|856372ca|439|B|mcq|-|In the xy-plane, a circle with radius 5 has center (-8,6). Which is an equation of the circle?|(x-8)^2+(y+6)^2=25;(x+8)^2+(y-6)^2=25;(x-8)^2+(y+6)^2=5;(x+8)^2+(y-6)^2=5|A=signs of center not flipped; B=CORRECT; C=wrong signs AND r not squared; D=correct signs but r not squared
Circles 2|2.4|95ba2d09|663|C|mcq|unit-circle-PQRT|Points P(1,0), T(-1,0), Q, R on circle center O. Angles POQ and ROT are each 30 deg. What is the radian measure of angle QOR?|5pi/6;3pi/4;2pi/3;pi/3|A=150 deg (subtracted only one 30); B=135 deg; C=120 deg=2pi/3 CORRECT; D=60 deg (added the two 30s instead)
Circles 2|2.5|82c8325f|403|D|mcq|-|A circle has center (-4,5) and the point (-8,8) lies on it. Which equation represents this circle?|(x-4)^2+(y+5)^2=5;(x+4)^2+(y-5)^2=5;(x-4)^2+(y+5)^2=25;(x+4)^2+(y-5)^2=25|A=wrong signs and r not squared; B=right signs but used r=5 unsquared; C=wrong signs; D=CORRECT
Circles 2|2.6|a0cacec1|220|192|spr|-|An angle has a measure of 16pi/15 radians. What is the measure, in degrees?|-|SPR: (16/15)*180=192
Circles 2|2.7|b96ff36e|241|5|spr|-|(x-3)^2+(y-5)^2=9 is a circle. The point (6,c) lies on this circle. What is c?|-|SPR: (6-3)^2=9 so (c-5)^2=0, c=5
Circles 2|2.8|2d521ca9|381|B|mcq|-|The measure of angle Z is 60 degrees. What is the measure, in radians, of angle Z?|pi/6;pi/3;2pi/3;pi|A=30 deg; B=60 deg=pi/3 CORRECT; C=120 deg; D=180 deg
Circles 2|2.9|ee540927|411|D|mcq|-|x^2+58x+y^2=0 is a circle. What are the coordinates of the center?|(0,29);(0,-29);(29,0);(-29,0)|A=swapped coords and sign; B=swapped coords; C=sign not flipped; D=(-29,0) CORRECT
Circles 2|2.10|fc8aa563|387|C|mcq|-|What is the center of the circle defined by (x-1)^2+(y+7)^2=1?|(-1,-7);(-1,7);(1,-7);(1,7)|A=flipped both signs wrongly; B=flipped x only; C=(1,-7) CORRECT; D=flipped y only
Circles 2|2.11|800e71b8|589|D|mcq|circle-MNP-arcs|Points M,N,P on a circle. Minor arc MN is 39 cm and major arc MPN is 195 cm. What is the circumference?|39;156;195;234|A=minor arc only; B=195-39 (subtracted); C=major arc only; D=39+195 CORRECT
Circles 3|3.1|c8345903|579|B|mcq|circle-O-arcs-ADC-ABC|Circle center O. Arc ADC is 5pi and central angle x=100. What is the length of arc ABC?|9pi;13pi;18pi;13pi/2|A=misc; B=18pi*(260/360)=13pi CORRECT; C=full circumference 18pi; D=half of correct
Circles 3|3.2|2266984b|456|B|mcq|-|x^2+20x+y^2+16y=-20 defines a circle. What are the coordinates of the center?|(-20,-16);(-10,-8);(10,8);(20,16)|A=used the linear coefficients directly; B=(-b/2,-d/2) CORRECT; C=signs not flipped; D=coefficients with wrong sign
Circles 3|3.3|69b0d79d|595|B|mcq|circle-O-isosceles-OAB|Circle center O, angle OAB is 30 deg, OC=18 is a radius. What is the length of arc AB?|9pi;12pi;15pi;18pi|A=used 90 deg; B=central angle 120 so 36pi/3=12pi CORRECT; C=misc; D=half circumference
Circles 3|3.4|ab176ad6|252|11|spr|-|(x+6)^2+(y+3)^2=121 defines a circle. What is the radius?|-|SPR: sqrt(121)=11; error 121 (forgot sqrt)
Circles 3|3.5|3e577e4a|395|A|mcq|-|A circle has center (-4,-6). Line k is tangent to the circle at (-7,-7). What is the slope of line k?|-3;-1/3;1/3;3|A=negative reciprocal of 1/3 CORRECT; B=negated radius slope; C=radius slope itself; D=reciprocal without sign change
Circles 3|3.6|9e44284b|437|A|mcq|-|2x^2-6x+2y^2+2y=45 is a circle. What is the radius?|5;6.5;sqrt(40);sqrt(50)|A=divide by 2 then complete square gives r^2=25 CORRECT; B=misc; C/D=forgot to divide by the leading 2 before completing the square
Circles 3|3.7|ca2235f6|393|D|mcq|-|Circle center O, arc AB measures 45 deg and has length 3 inches. What is the circumference?|3;6;9;24|A=arc length itself; B=doubled; C=tripled; D=3*(360/45)=24 CORRECT
Circles 3|3.8|981275d2|489|A|mcq|-|(x-6)^2+(y+5)^2=16. Point P(10,-5) is on the circle. PQ is a diameter. What are the coordinates of Q?|(2,-5);(6,-1);(6,-5);(6,-9)|A=reflect P over center CORRECT; B/C/D=gave the center or shifted only one coordinate
Circles 3|3.9|89661424|243|-52|spr|-|A circle has center (-5,2) and radius 9. Equation x^2+y^2+ax+by+c=0. What is c?|-|SPR: 25+4-81=-52
Circles 3|3.10|fb58c0db|261|1/6|spr|-|Points A and B on a circle of radius 1; arc AB has length pi/3. What fraction of the circumference is arc AB?|-|SPR: (pi/3)/(2pi)=1/6
Circles 3|3.11|acd30391|435|D|mcq|-|Circle (x+3)^2+(y-1)^2=25. Which point does NOT lie in the interior?|(-7,3);(-3,1);(0,0);(3,2)|A=20<25 interior; B=center; C=10<25 interior; D=37>25 NOT interior CORRECT
Circles 3|3.12|b8a225ff|268|16|spr|-|Circle A: (x+5)^2+(y-5)^2=4. Circle B has same center, radius twice that of A, equation =k. What is k?|-|SPR: r_A=2, r_B=4, k=16; error 8 (doubled r^2 instead of r)
Circles 3|3.13|249d3f80|242|100|spr|-|Point O is the center of a circle. Arc RS measures 100 deg. What is the measure, in degrees, of angle ROS?|-|SPR: central angle equals arc measure = 100
Circles 3|3.14|abcd0007|316|3|spr|-|8x^2+112px+8y^2-64py=-448p^2 is a circle. Radius is np. What is n?|-|SPR: divide by 8, complete square, r^2=9p^2 so n=3
Circles 3|3.15|1b2b20b9|754|28|spr|circle-on-grid-translate|Circle A: x^2+(y-6)^2=7. Circle B has same radius translated 96 units right, equation (x-h)^2+(y-k)^2=a. What is 4a?|-|SPR: translation does not change radius so a=7, 4a=28; error 4*7+96
Circles 3|3.16|2855cb58|385|B|mcq|-|A circle has center (16,17) and radius 7k. Which equation represents this circle?|...=49k;...=49k^2;...=7k;...=7k^2|A=squared only the 7; B=(7k)^2=49k^2 CORRECT; C=radius not squared; D=squared only k
Circles 3|3.17|fa2771d5|436|C|mcq|-|Circle A: (x-7)^2+(y+3)^2=1. Circle B is A translated right 4 units. Which equation represents B?|(x-7)^2+(y+7)^2=1;(x-3)^2+(y+3)^2=1;(x-11)^2+(y+3)^2=1;(x-7)^2+(y-1)^2=1|A=translated y instead; B=translated left (wrong direction); C=(x-11) CORRECT; D=translated y wrong way
Circles 3|3.18|35d37640|433|D|mcq|-|F(1,0) on unit circle, G(0,0) center, H(-1,y) also on circle. Which could be the positive measure of angle FGH, in radians?|27pi/2;29pi/2;24pi;25pi|Angle must be an odd multiple of pi. A/B=half-integer multiples (90 deg positions); C=even multiple (back at F); D=25pi CORRECT
Equivalent Expressions 1|1.1|e312081b|451|B|mcq|-|Which is equivalent to (x+5)+(2x-3)?|3x-2;3x+2;3x-8;3x+8|A=subtracted constants wrong sign; B=CORRECT; C=subtracted 5+3; D=added 5+3
Equivalent Expressions 1|1.2|1d3fee25|427|C|mcq|-|Which is equivalent to 3(x+5)-6?|3x-3;3x-1;3x+9;15x-6|A=distributed only to x then subtracted; B=misc; C=3x+15-6 CORRECT; D=multiplied 3*5 into the x term
Equivalent Expressions 1|1.3|60fdb4d4|432|A|mcq|-|Which is equivalent to (2x^2-4)-(-3x^2+2x-7)?|5x^2-2x+3;5x^2+2x-3;-x^2-2x-11;-x^2+2x-11|A=CORRECT; B=sign errors on both; C/D=added instead of subtracting the second polynomial
Equivalent Expressions 1|1.4|49efde89|403|D|mcq|-|2x^2+ax is equivalent to x(2x+7). What is a?|2;3;4;7|A=coefficient of x^2; B/C=random; D=7 CORRECT
Equivalent Expressions 1|1.5|9ed9f54d|425|A|mcq|-|Which is equivalent to 2(x^2-x)+3(x^2-x)?|5x^2-5x;5x^2+5x;5x;5x^2|A=5(x^2-x) CORRECT; B=sign error on the -x; C/D=dropped a term
Equivalent Expressions 1|1.6|294db8ec|433|D|mcq|-|Which is equivalent to 2x^3+4?|4(x^3+4);4(x^3+2);2(x^3+4);2(x^3+2)|A/B=factored out 4 (not a common factor of 2x^3); C=did not divide the 4; D=2(x^3+2) CORRECT
Equivalent Expressions 1|1.7|6e06a0a7|433|D|mcq|-|Which is equivalent to 2a^2(a+3)?|5a^3;8a^5;2a^3+3;2a^3+6a^2|A=added exponents/coefficients; B=multiplied everything; C=failed to distribute to the 3; D=CORRECT
Equivalent Expressions 1|1.8|df0ef054|457|C|mcq|-|Which is equivalent to (2x^3+3x)(x^3-2x)?|x^3+5x;3x^3+x;2x^6-x^4-6x^2;3x^6-x^4-6x^2|A/B=added the polynomials instead of multiplying; C=CORRECT; D=added leading coefficients instead of multiplying
Equivalent Expressions 1|1.9|127b2759|369|B|mcq|-|Which is equivalent to 8+d^2+3?|d^2+24;d^2+11;d^2+5;d^2-11|A=multiplied 8*3; B=8+3=11 CORRECT; C=subtracted 8-3; D=negated the sum
Equivalent Expressions 1|1.10|fb96a5b3|427|B|mcq|-|Which is equivalent to 2(ab-3)+2?|2ab-1;2ab-4;2ab-5;2ab-8|A=added 2 to -3 before distributing incorrectly; B=-6+2=-4 CORRECT; C=misc; D=distributed the +2 as well
Equivalent Expressions 1|1.11|e597050f|372|D|mcq|-|Which is equivalent to 9x+6x+2y+3y?|3x+5y;6x+8y;12x+8y;15x+5y|A=subtracted x terms; B/C=mixed x and y terms; D=15x+5y CORRECT
Equivalent Expressions 1|1.12|1e8d7183|372|D|mcq|-|Which is equivalent to 256w^2-676?|(16w-26)(16w-26);(8w-13)(8w+13);(8w-13)(8w-13);(16w-26)(16w+26)|A/C=perfect-square form (wrong for a difference); B=halved both roots; D=difference of squares CORRECT
Equivalent Expressions 1|1.13|0354c7de|450|A|mcq|-|Which is equivalent to 5x+15?|5(x+3);5(x+10);5(x+15);5(x+20)|A=CORRECT; B=subtracted 5; C=did not divide 15 by 5; D=added 5
Equivalent Expressions 1|1.14|974d33dc|432|D|mcq|-|Which is equivalent to the sum of (r^3+5r^2+7) and (r^2+8r+12)?|r^5+13r^3+19;2r^3+13r^2+19;r^3+5r^2+7r+12;r^3+6r^2+8r+19|A/B=added exponents or unlike terms; C=concatenated terms; D=CORRECT
Equivalent Expressions 1|1.15|d4d513ff|373|C|mcq|-|Which is equivalent to 12x+27?|12(9x+1);27(12x+1);3(4x+9);3(9x+24)|A/B=factored out a non-common factor; C=GCF 3 CORRECT; D=divided only one term
Equivalent Expressions 1|1.16|5dd53f73|391|B|mcq|-|Which expression is equivalent to 34x+34y?|34xy;34(x+y);68y;68x|A=multiplied the variables; B=GCF CORRECT; C/D=combined unlike terms
Equivalent Expressions 1|1.17|4ac59df6|395|A|mcq|-|Which expression is equivalent to (8yz)(y)(7z)?|56y^2z^2;56y^2z;56yz;16yz|A=CORRECT; B=lost a z; C=lost both extra powers; D=added 8+7 instead of multiplying
